0_pos_x,0_pos_y,0_pos_z
-2017.596069,746.316406,1203.882202
-2017.437622,746.671753,1203.684326
-2017.534424,746.92688,1203.550537
-2017.875977,747.165039,1203.284668
-2017.893433,747.477234,1203.062012
-2017.630981,747.93573,1202.943604
-2017.544434,748.27356,1202.812866
-2017.640503,748.605347,1202.640015
-2017.591064,749.059753,1202.484131
-2017.722046,749.342407,1202.274658
-2018.028564,749.753052,1202.056885
-2018.200806,750.220825,1201.832397
-2018.231689,750.721863,1201.684448
-2018.392212,751.190979,1201.498901
-2018.327148,751.742798,1201.31543
-2018.427002,752.306519,1201.237183
-2018.362427,752.837708,1201.140991
-2018.230103,753.534729,1201.100098
-2017.879639,754.185486,1201.088623
-2017.792603,754.882874,1200.982178
-2017.794189,755.634277,1200.911133
-2017.311646,756.435242,1200.89856
-2017.142212,757.145386,1200.765503
-2016.756836,757.989746,1200.713135
-2016.466919,758.809753,1200.633911
-2016.616943,759.43573,1200.317505
-2016.527954,760.14563,1200.085083
-2016.526611,760.935364,1199.885254
-2016.377563,761.801453,1199.75769
-2015.415771,762.845337,1199.766357
-2014.801392,763.953735,1199.658081
-2014.391724,764.840942,1199.449341
-2013.724731,765.91449,1199.369263
-2012.99707,767.036377,1199.258911
-2012.193604,768.153259,1199.126099
-2011.206787,769.355103,1198.941895
-2010.41687,770.544739,1198.84729
-2009.706665,771.677307,1198.681396
-2008.898315,772.852356,1198.478882
-2008.009521,773.997009,1198.366211
-2007.182983,775.176819,1198.189697
-2006.588135,776.286438,1197.966064
-2005.697876,777.526428,1197.773438
-2004.793579,778.761475,1197.607056
-2003.975464,779.959656,1197.317261
-2003.133911,781.196899,1197.130981
-2002.121826,782.430359,1196.87854
-2001.059692,783.710999,1196.724121
-2000.043945,784.98822,1196.434937
-1998.986084,786.256409,1196.266724
-1997.835693,787.628479,1196.015991
-1996.94812,789.043884,1195.801514
-1996.213135,790.424316,1195.594727
-1995.062744,791.776733,1195.423096
-1993.810547,793.202698,1195.205322
-1992.56958,794.571228,1194.989502
-1991.057007,796.017944,1194.794678
-1989.613892,797.52356,1194.592041
-1988.058716,799.084961,1194.375
-1986.525879,800.594666,1194.225342
-1984.720825,802.192261,1194.078979
-1983.064331,803.7146,1193.917603
-1981.32312,805.35083,1193.735962
-1979.737671,806.942444,1193.553833
-1977.832642,808.562927,1193.44751
