freq=240.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
M, 508379167, 0, -2002.121826, 782.430359, 1196.878540, 1, 0, 0, 0, 22.39
M, 508383333, 0, -2001.059692, 783.710999, 1196.724121, 1, 0, 0, 0, 22.38
M, 508387500, 0, -2000.043945, 784.988220, 1196.434937, 1, 0, 0, 0, 22.37
M, 508391667, 0, -1998.986084, 786.256409, 1196.266724, 1, 0, 0, 0, 22.36
M, 508395833, 0, -1997.835693, 787.628479, 1196.015991, 1, 0, 0, 0, 22.34
M, 508400000, 0, -1996.948120, 789.043884, 1195.801514, 1, 0, 0, 0, 21.00
M, 508404167, 0, -1996.213135, 790.424316, 1195.594727, 1, 0, 0, 0, 20.99
M, 508408333, 0, -1995.062744, 791.776733, 1195.423096, 1, 0, 0, 0, 20.97
M, 508412500, 0, -1993.810547, 793.202698, 1195.205322, 1, 0, 0, 0, 20.96
M, 508416667, 0, -1992.569580, 794.571228, 1194.989502, 1, 0, 0, 0, 20.95
M, 508420833, 0, -1991.057007, 796.017944, 1194.794678, 1, 0, 0, 0, 20.93
M, 508425000, 0, -1989.613892, 797.523560, 1194.592041, 1, 0, 0, 0, 20.92
M, 508429167, 0, -1988.058716, 799.084961, 1194.375000, 1, 0, 0, 0, 20.90
M, 508433333, 0, -1986.525879, 800.594666, 1194.225342, 1, 0, 0, 0, 20.89
M, 508437500, 0, -1984.720825, 802.192261, 1194.078979, 1, 0, 0, 0, 20.87
M, 508441667, 0, -1983.064331, 803.714600, 1193.917603, 1, 0, 0, 0, 20.85
M, 508445833, 0, -1981.323120, 805.350830, 1193.735962, 1, 0, 0, 0, 20.83
M, 508450000, 0, -1979.737671, 806.942444, 1193.553833, 1, 0, 0, 0, 20.82
M, 508454167, 0, -1977.832642, 808.562927, 1193.447510, 1, 0, 0, 0, 20.80
M, 508458333, 0, -1975.925537, 810.267761, 1193.279419, 1, 0, 0, 0, 20.78
M, 508462500, 0, -1973.983154, 811.864563, 1193.143433, 1, 0, 0, 0, 20.76
M, 508466667, 0, -1972.032959, 813.544434, 1193.009766, 1, 0, 0, 0, 20.74
M, 508470833, 0, -1970.037842, 815.191345, 1192.901123, 1, 0, 0, 0, 20.72
M, 508475000, 0, -1967.828857, 816.947510, 1192.751465, 1, 0, 0, 0, 20.70
M, 508479167, 0, -1965.661133, 818.630737, 1192.671631, 1, 0, 0, 0, 20.68
M, 508483333, 0, -1963.411499, 820.306396, 1192.526611, 1, 0, 0, 0, 20.66
M, 508487500, 0, -1961.114014, 822.049194, 1192.428101, 1, 0, 0, 0, 20.63
M, 508491667, 0, -1958.852417, 823.824097, 1192.282349, 1, 0, 0, 0, 20.61
M, 508495833, 0, -1956.325195, 825.647156, 1192.228516, 1, 0, 0, 0, 20.59
M, 508500000, 0, -1953.896606, 827.419373, 1192.159302, 1, 0, 0, 0, 20.56
