0_pos_x,0_pos_y,0_pos_z
-1959.007324,819.11322,1172.187988
-1952.64563,821.432678,1171.625122
-1950.988159,822.403381,1171.20874
-1948.939941,823.367798,1170.786987
-1947.420044,824.144165,1170.319092
-1945.950806,824.917053,1169.906128
-1934.676758,830.06604,1169.407471
-1935.958984,829.06012,1169.421387
-1934.371826,830.128235,1168.982666
-1933.775757,830.531799,1168.717041
-1931.308105,831.657593,1168.327393
-1928.975952,832.728577,1168.01355
-1926.734375,833.835693,1167.614624
-1922.840454,835.610718,1167.299316
-1924.246948,835.261292,1167.1604
-1923.275391,835.8526,1167.015015
-1921.989746,836.604919,1166.88916
-1921.372559,837.08606,1166.687134
-1917.849365,838.65387,1166.683228
-1915.040894,839.856934,1166.744629
-1912.129272,841.239502,1166.759033
-1909.118286,842.625305,1166.766724
-1906.322144,844.123535,1166.772827
-1903.250366,845.432373,1166.811157
-1900.918823,846.502258,1166.856201
-1898.072388,847.815369,1166.947021
-1895.287842,849.053711,1166.974976
-1893.903809,849.613708,1167.188599
-1892.848389,850.12085,1167.375244
-1891.512939,850.662903,1167.58313
-1889.740601,851.427246,1167.744751
-1886.348145,852.707947,1168.076172
-1884.062622,853.621338,1168.306885
-1880.537109,854.986755,1168.716064
-1877.032349,856.31842,1169.088379
-1876.532227,856.514771,1169.231567
-1872.434937,858.10321,1169.575562
-1868.817749,859.695007,1169.929443
-1865.711304,860.960938,1170.083862
-1861.878052,862.422058,1170.645386
-1858.161865,864.007751,1171.387451
-1853.97876,865.595032,1172.019165
-1850.614136,866.918396,1172.499634
-1848.57312,867.702454,1172.583496
-1846.096924,868.640137,1172.896973
-1843.185303,869.669373,1173.345825
-1839.288086,871.181213,1174.038818
-1835.714966,872.486816,1174.754883
-1831.510864,873.999573,1175.509155
-1827.413208,875.416809,1176.210815
-1824.023315,876.568665,1176.802612
-1820.646118,877.508728,1177.365967
-1816.92041,878.559998,1178.063599
-1814.851685,879.048462,1178.841187
-1811.083252,880.202576,1179.250366
-1807.443726,881.389343,1179.643799
-1803.863159,882.22644,1180.288696
-1800.569214,883.105591,1180.878052
-1796.988403,884.116028,1181.341309
-1793.112427,885.216797,1181.859863
-1789.225464,886.28894,1182.341553
-1785.235352,887.506958,1182.654907
-1781.456787,888.474976,1183.167358
-1776.803345,889.668335,1183.560913
-1772.383301,890.917664,1183.88269
-1768.460938,891.924805,1184.331543
-1764.555786,892.871765,1184.804443
-1761.003662,893.674744,1185.286377
-1757.080933,894.564636,1185.706055
-1753.196167,895.550659,1186.10022
-1748.776123,896.569885,1186.672485
-1744.88269,897.425598,1187.019043
-1740.700317,898.447449,1187.358154
-1736.639648,899.408875,1187.663208
-1732.358887,900.399109,1187.929688
-1728.029175,901.403992,1188.200928
