right_hand_wrist_x,right_hand_wrist_y,right_hand_wrist_z,right_hand_thumb_cmc_x,right_hand_thumb_cmc_y,right_hand_thumb_cmc_z,right_hand_thumb_mcp_x,right_hand_thumb_mcp_y,right_hand_thumb_mcp_z,right_hand_thumb_ip_x,right_hand_thumb_ip_y,right_hand_thumb_ip_z,right_hand_thumb_tip_x,right_hand_thumb_tip_y,right_hand_thumb_tip_z,right_hand_index_finger_mcp_x,right_hand_index_finger_mcp_y,right_hand_index_finger_mcp_z,right_hand_index_finger_pip_x,right_hand_index_finger_pip_y,right_hand_index_finger_pip_z,right_hand_index_finger_dip_x,right_hand_index_finger_dip_y,right_hand_index_finger_dip_z,right_hand_index_finger_tip_x,right_hand_index_finger_tip_y,right_hand_index_finger_tip_z,right_hand_middle_finger_mcp_x,right_hand_middle_finger_mcp_y,right_hand_middle_finger_mcp_z,right_hand_middle_finger_pip_x,right_hand_middle_finger_pip_y,right_hand_middle_finger_pip_z,right_hand_middle_finger_dip_x,right_hand_middle_finger_dip_y,right_hand_middle_finger_dip_z,right_hand_middle_finger_tip_x,right_hand_middle_finger_tip_y,right_hand_middle_finger_tip_z,right_hand_ring_finger_mcp_x,right_hand_ring_finger_mcp_y,right_hand_ring_finger_mcp_z,right_hand_ring_finger_pip_x,right_hand_ring_finger_pip_y,right_hand_ring_finger_pip_z,right_hand_ring_finger_dip_x,right_hand_ring_finger_dip_y,right_hand_ring_finger_dip_z,right_hand_ring_finger_tip_x,right_hand_ring_finger_tip_y,right_hand_ring_finger_tip_z,right_hand_pinky_mcp_x,right_hand_pinky_mcp_y,right_hand_pinky_mcp_z,right_hand_pinky_pip_x,right_hand_pinky_pip_y,right_hand_pinky_pip_z,right_hand_pinky_dip_x,right_hand_pinky_dip_y,right_hand_pinky_dip_z,right_hand_pinky_tip_x,right_hand_pinky_tip_y,right_hand_pinky_tip_z
181.17726070125613,2030.2537750993413,208.93458005518073,166.03379169114757,2040.568888270114,220.11240478812175,150.5318242109822,2048.860998842176,228.98041017923796,135.55646804366006,2055.6774306705915,233.01653193709546,124.03377194450202,2059.4562615341542,233.04937467903835,124.99048786095142,2060.283294487805,229.71139049783068,104.25186965121938,2068.1267678999793,230.16885950080072,113.81499844831153,2057.110729195777,228.88724851201457,125.95915866443872,2045.4637247824542,228.04324489360152,123.0233199485175,2059.534640804546,222.9019627306745,101.33402969382985,2067.4503230075725,222.64809447735374,114.86639160746056,2053.8515194516285,221.98148357947863,128.91839019490095,2041.2129516302407,221.3355324383191,123.24939806386188,2058.359455159472,215.46148135413668,103.99243910765614,2064.852090993609,214.79298015668056,116.36528607854767,2052.4822404483075,215.1857172641219,129.0319347305387,2041.0609741453145,215.0012093283802,125.6133172236218,2056.801876630573,207.55233006561525,111.25367054971174,2061.181364351832,206.2431699060532,117.97681478154396,2053.2579232137473,206.697730245624,125.96562877443509,2045.0225864771148,206.7909138400125
181.5027070829482,2030.2808067514443,208.93427462102505,166.47217786754965,2040.5449861121042,220.1372248035754,151.0275043450098,2048.8445102644673,229.0357974300395,136.06234827456007,2055.7099320223438,233.09349971147816,124.51642562991204,2059.5391871869956,233.12773631419475,125.4096221050306,2060.345947952683,229.77772504634652,104.71680511274022,2068.21837699366,230.29424284105013,114.27626497257229,2057.26625266174,229.01165628175247,126.41592775825525,2045.67181053701,228.14893891817772,123.41600756573604,2059.6054059834537,222.96826095481768,101.78845415874072,2067.5234035419617,222.77621682140548,115.30663932870917,2053.991021092609,222.09875168333005,129.33973528718803,2041.4109911419916,221.43256186342268,123.6161363469756,2058.4374052658277,215.5247724039553,104.42818457170729,2064.9185556963102,214.91603029648715,116.7781375822586,2052.6233261587367,215.29773577960955,129.42236764872567,2041.2624370708481,215.0928797347888,125.9561142433671,2056.8851929614216,207.6097304464133,111.65358691086212,2061.2572549946913,206.3518875068008,118.39097233079383,2053.375726130989,206.81013743204673,126.38676661618217,2045.180308452457,206.89469117147667
181.8294258924532,2030.3068943555675,208.9337064144848,166.91222418484242,2040.5200372263273,220.16352863214473,151.5257180204316,2048.826521127374,229.09375427743277,136.57122999066695,2055.740770682771,233.17371718266534,125.00214451072023,2059.6205499164694,233.2098234076665,125.8297189588055,2060.408331171921,229.84595275850796,105.1827185944114,2068.3098667421027,230.42196674362964,114.73785022988365,2057.4221315751593,229.138413695849,126.87227910763674,2045.8807185968544,228.25683580791068,123.80926450191917,2059.6759810831213,223.03493958999638,102.24345438442832,2067.5963687342537,222.90487847874016,115.74689797973413,2054.1307901086793,222.2164725528923,129.76060432249514,2041.6095857129037,221.52984575223002,123.98287977950164,2058.5153842574864,215.586963795369,104.86417005617312,2064.984898031153,215.03776257619725,117.19063945446166,2052.764647315602,215.40816896016676,129.81204237217986,2041.4643613809747,215.18266359918167,126.29822490926944,2056.9688872148085,207.66459131838727,112.05265382795868,2061.333599976232,206.4576280584504,118.80352634803218,2053.4944500095844,206.91910555728845,126.80552591002971,2045.339443422969,206.9946206790684
182.1559063675545,2030.333373367724,208.93328404868686,167.35336092613372,2040.4948068932204,220.19353898668666,152.02669088159396,2048.807351857542,229.15749269693646,137.08373624218288,2055.7699642133966,233.2602392887547,125.4917307405762,2059.7002284729892,233.2984494663004,126.24757446615799,2060.473390547833,229.9185212151284,105.64623060232032,2068.4043067821053,230.5542003355738,115.20030161744226,2057.578743013098,229.2697202361086,127.3324052883451,2046.088463437172,228.36944621925826,124.19952000019461,2059.74941397819,223.10333891156932,102.69529038484782,2067.6724012209966,223.0350755030323,116.18829323001175,2054.2707772276253,222.33584968832395,130.18631830557473,2041.806057042203,221.62894212493842,124.34579129503791,2058.596458875278,215.6482702107867,105.29637830541701,2065.054287029773,215.1579604371503,117.60344202775136,2052.9062535020194,215.51713082438414,130.20557361123485,2041.6642563549453,215.2710541466618,126.63555889198494,2057.0560497429774,207.71596403320035,112.4463514591802,2061.41370072685,206.5587037328888,119.2131926440355,2053.615156431075,207.0230764780142,127.22380927296531,2045.4989213356957,207.08942767224826
182.48177986627368,2030.3603352049986,208.93300166219288,167.79391794876844,2040.4700035655685,220.22344487971708,152.52694485911192,2048.7886771244116,229.2209537244275,137.59544469934136,2055.799654609994,233.34625807503522,125.98052736024485,2059.7803532215235,233.38639423411115,126.66465869159256,2060.5389764118486,229.9908975886224,106.10894016682452,2068.4992471185415,230.6860666975731,115.66274115724936,2057.7353058996187,229.40066144345275,127.79329050184998,2046.295663200954,228.48178204527818,124.58906557232545,2059.8233648988253,223.1718281150754,103.14638891870273,2067.748949925421,223.16526305412398,116.62985568733122,2054.410677412766,222.45527448816287,130.6129795274441,2042.0019578249837,221.72819878754106,124.70812024802505,2058.677989291983,215.70993598947746,105.7279068953552,2065.124192274228,215.27851721697212,118.0164470003864,2053.04779721416,215.6265811678416,130.60002899832705,2041.8636370300826,215.36008012383093,126.9724774991217,2057.1435679000597,207.76794792371896,112.8396171512266,2061.494166355716,206.6604087033344,119.62314110292056,2053.7357498635956,207.12783365764346,127.64308772469116,2045.657817225685,207.18518534424248
182.80766838381814,2030.387194545826,208.93267503944077,168.23389795821035,2040.4453911715955,220.2516719879197,153.02585204507932,2048.7706067543413,229.28177879255531,138.10540616880246,2055.8301583475277,233.4293720137009,126.46746929096449,2059.8613011547,233.47130207044432,127.08263172529139,2060.6034413178477,230.06129736118925,106.57260566352167,2068.5929395377434,230.8158541381751,116.12479030577825,2057.891532780389,229.52950632298143,128.25259704029008,2046.5033023149506,228.59196152752088,124.97985026555071,2059.896112086126,223.239558927432,103.59879543934733,2067.8242006290916,223.29476031435843,117.07093351855863,2054.5504665800154,222.57396340687296,131.03761045605998,2042.1987248238097,221.82666653481175,125.07208021028117,2058.7581998476917,215.7720532376849,106.16102725810731,2065.1928087783335,215.39981677742455,118.42934770928557,2053.1892035849582,215.73676559927867,130.99289406471667,2042.0638503070952,215.44982744596118,127.31147630995586,2057.229583835583,207.8215893556621,113.23522641540278,2061.57300217668,206.76430190525576,120.03442789105834,2053.855436700714,207.2349519386996,128.06273038957517,2045.8164711180896,207.28338523655614
183.1338315010837,2030.4138217421314,208.93227891517566,168.6740506888412,2040.4206161100828,220.2796917518759,153.52487782533214,2048.7524060222268,229.34232916206446,138.6154610364129,2055.8605623226754,233.5122719016084,126.95448463914944,2059.942173551415,233.5560557033893,127.50108539041977,2060.6675002678558,230.1314840046117,107.03677593684814,2068.6862185271452,230.94549153685617,116.58678565447617,2058.0477305641516,229.65819767368342,128.71132397913487,2046.7112525115901,228.7019376782221,125.37114110888832,2059.968444579886,223.30713457322045,104.05173089442846,2067.8990231757975,223.4241572967721,117.51186294578133,2054.6902779399006,222.6925195088969,131.4615089579638,2042.3958789712499,221.92494290418352,125.43654852191484,2058.838006043654,215.83407761856162,106.59469359215669,2065.26099851511,215.52106778204072,118.84214182162441,2053.3306171883455,215.84684203014532,131.385103687602,2042.2644204066225,215.5393989072389,127.6509764799762,2057.315212739392,207.87520757311114,113.63138435103019,2061.651427496227,206.8682441231743,120.44579074224242,2053.9750369491485,207.34207498994493,128.48198175019772,2045.9753494955403,207.3815284140877
183.4600294615842,2030.4404597716589,208.9318921135668,169.1144884561908,2040.3957307523249,220.3084333205938,154.02452581414414,2048.733914396907,229.40402058219266,139.12631384887362,2055.890586278378,233.5964426629662,127.44234322773424,2060.022665180656,233.64214853286637,127.9192130637773,2060.7320006735454,230.20252519471512,107.50059375885574,2068.779994801908,231.07603894228134,117.04894800907539,2058.2040746939065,229.7878063126688,129.17067143840575,2046.9190526957907,228.81285050248283,125.76195265361005,2060.041254344135,223.37502698183184,104.50415960381405,2067.9743632482136,223.55384879978203,117.9529873326705,2054.830142469519,222.81138565877376,131.88620746088944,2042.5927031073848,222.0235442479895,125.80036204376214,2058.9183431766432,215.89588538099176,107.02772843715321,2065.3297018332587,215.64197817874464,119.25496657133506,2053.4720935063788,215.95657275165186,131.77792757108693,2042.4646709839853,215.6286201006091,127.98961926654353,2057.4014570218706,207.92807860423187,114.02657390487225,2061.730521883293,206.97121199342476,120.85656465775621,2054.0950308380743,207.4481394338745,128.9010104495898,2046.1343704403073,207.47856727914413
183.78610949659597,2030.4672035953718,208.93153790613792,169.55489189260834,2040.3709016751077,220.3373772162822,154.52421481317216,2048.7154372108785,229.46600803321286,139.63724558708898,2055.920597448518,233.68090190356764,127.93029656551826,2060.103133041881,233.72851333641833,128.33707573380343,2060.796750063002,230.27379140782867,107.96413173790188,2068.8740318677014,231.20679146416114,117.51115979051241,2058.3604540389033,229.91762273515607,129.63037290330487,2047.1266905941313,228.92399639012362,126.15246453115194,2060.1143224356283,223.44303697349835,104.95627426742085,2068.0499737840537,223.68362989145717,118.39420782435106,2054.9700050934944,222.930358347406,132.31135571476864,2042.7893035734417,222.12228066484607,126.16384833776401,2058.9989421270425,215.95770200750647,107.46042270322702,2065.3986743940836,215.7628587835353,119.66784378586078,2053.61357607608,216.0662995791738,132.1711385403591,2042.6647130856798,215.71786715584497,128.32790728350759,2057.48796813405,207.9808469072278,114.42137065398705,2061.8099017598474,207.07401033052503,121.26721526665446,2054.21512318325,207.5540414368277,129.32018099447657,2046.2933122562288,207.5754643680617
184.11215604187515,2030.4939585786628,208.93118445162438,169.995162246108,2040.3461306056486,220.36602790528033,155.02363086268406,2048.6970927232205,229.52752836829296,140.14783127150415,2055.9507771817725,233.7648346385174,128.4178859233242,2060.1837681388006,233.81431848123253,128.7550445345813,2060.8613390919927,230.3447082951545,108.42778547190933,2068.967885312463,231.33716676321887,117.97330412774545,2058.516773056945,230.04705907175295,130.08984957176182,2047.3343712226022,229.034757322527,126.54314607294528,2060.1872155128626,223.5109226517857,105.40856873236595,2068.1253930824982,223.81329240984905,118.83535539837737,2055.1098435738213,223.04920806299612,132.73621314494486,2042.986018232585,222.22089173255142,126.52757885832402,2059.079342513703,216.01961716411273,107.89334872007103,2065.467457302322,215.8838876938926,120.0807151991936,2053.75503145495,216.17618092269592,132.5641325309169,2042.8648669752424,215.80727527812743,128.6665262519811,2057.57424355597,208.0339348864506,114.81654239551258,2061.889024683732,207.17722014582984,121.67811143506076,2054.335053826883,207.66039379578376,129.73947291746256,2046.4521781258532,207.67283544821376
